name,price,"detail (manuf, quantity)",id
Grillklubbor Av Fläsk,119.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000416500000
Entrecôte Skivat Storpack,375.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,6KG",2000427200005
"Kycklingfilé, Fryst",127.22 kr/kg,"LINDSTRÖMS, 1,8KG",7350004662647
Minutkyckling Stekt/Skivad Ceasar,234.75 kr/kg,"KRONFÅGEL, 200G, Sverige",7300324050006
Kycklingmage,55.44 kr/kg,"KRONFÅGEL, 450G, Sverige",7300327772004
Skinkgrytbitar Storpack,129.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000401400001
Anklår,129.00 kr/kg,"ÅKE P FÅGEL & VILT, CA500G",2376211300009
Högrev Närproducerat EKO,209.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA850G",2000471100009
Salladskyckling,224.75 kr/kg,"GULDFÅGELN, 200G, Sverige",7313940027031
Kalkonbröstfilé Mörad,185.00 kr/kg,"INGELSTAKALKON, CA600G",2366013700008
Kotletter Med Ben Och Svål,99.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000404600002
Kyckling Hel EKO KRAV,145.00 kr/kg,"KRONFÅGEL, CA2KG, Sverige",2332711000009
Rostas I Skivor,299.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000424400002
Skinka Strimlat,139.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000401600005
Spareribs Sweet & Smokey,165.90 kr/kg,"TULIP, 500G, Germany",5707196329575
Kycklingsteak Ranch,115.00 kr/kg,"KRONFÅGEL, CA850G, Sverige",2332762900006
Karrékotletter Med Ben,125.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000408100003
Ryggbiff I Skivor Närproducerat EKO,399.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA550G",2000470600005
Pulled Pork Gyros,157.38 kr/kg,"TULIP, 400G, Sverige",5707196327922
Kycklingvingar,67.95 kr/kg,"KRONFÅGEL, CA900G, Sverige",2332784600007
